transaction_id,customer_id,transaction_amount,timestamp,location,device_id,merchant_id,label
10001,501,120.55,2024-01-05 13:45:22,New York,DEV001,M1001,0
10002,501,980.00,2024-01-06 01:12:10,Texas,DEV001,M2044,1
10003,502,45.22,2024-01-06 03:50:11,California,DEV114,M1001,0
10004,503,600.89,2024-01-07 02:11:05,New York,DEV334,M3055,1
10005,504,12.89,2024-01-07 15:40:30,Florida,DEV002,M1001,0
10006,505,1999.99,2024-01-08 23:58:45,New Jersey,DEV112,M4009,1
10007,502,30.90,2024-01-08 09:10:11,California,DEV114,M2001,0
10008,506,450.00,2024-01-09 01:02:55,Texas,DEV772,M4009,1
10009,507,22.44,2024-01-09 17:20:30,Georgia,DEV007,M1001,0
10010,503,3200.00,2024-01-10 00:40:14,New York,DEV334,M3055,1
